conclusion_length,premise_count,avg_premise_length,has_specific_evidence,has_logical_connectors,has_counterconsideration,has_change_mind,confidence,conclusion_premise_alignment,quality_score
120,3,85,1,1,1,1,7,1,0.92
45,2,30,0,1,0,0,9,0,0.34
200,4,110,1,1,1,1,6,1,0.89
60,2,40,0,0,0,0,10,0,0.28
150,3,95,1,1,0,1,8,1,0.85
90,2,55,1,1,0,0,7,1,0.71
180,4,120,1,1,1,1,5,1,0.88
35,2,25,0,0,0,0,10,0,0.22
130,3,75,1,1,1,0,8,1,0.81
70,2,45,0,1,0,0,6,0,0.45
210,5,140,1,1,1,1,7,1,0.95
55,2,35,0,0,0,0,9,0,0.31
140,3,90,1,1,0,1,7,1,0.78
80,2,50,1,1,0,0,8,1,0.68
190,4,115,1,1,1,1,6,1,0.91
40,2,28,0,0,0,0,10,0,0.25
160,3,100,1,1,1,1,7,1,0.87
65,2,38,0,1,0,0,5,0,0.42
175,4,125,1,1,1,1,6,1,0.90
50,2,32,0,0,0,0,9,0,0.29
110,3,70,1,1,0,0,8,1,0.74
95,2,60,1,1,0,1,7,1,0.76
185,4,130,1,1,1,1,5,1,0.89
75,2,48,0,1,0,0,6,0,0.48
145,3,88,1,1,1,1,8,1,0.84
85,2,52,1,1,0,0,7,1,0.69
195,5,135,1,1,1,1,6,1,0.93
60,2,35,0,0,0,0,9,0,0.33
125,3,78,1,1,0,1,7,1,0.79
100,2,65,1,1,0,0,8,1,0.73
170,4,118,1,1,1,1,6,1,0.88
55,2,30,0,0,0,0,10,0,0.27
155,3,92,1,1,1,0,7,1,0.82
90,2,58,1,1,0,0,6,1,0.67
205,5,142,1,1,1,1,5,1,0.94
48,2,26,0,0,0,0,9,0,0.24
135,3,82,1,1,0,1,8,1,0.80
78,2,46,0,1,0,0,7,0,0.51
188,4,128,1,1,1,1,6,1,0.90
52,2,29,0,0,0,0,10,0,0.26
165,3,105,1,1,1,1,7,1,0.86
88,2,56,1,1,0,0,8,1,0.72
198,5,138,1,1,1,1,5,1,0.92
58,2,34,0,0,0,0,9,0,0.32
115,3,72,1,1,0,0,7,1,0.77
82,2,54,1,1,0,0,6,1,0.66
192,4,122,1,1,1,1,6,1,0.89
62,2,36,0,0,0,0,10,0,0.35
142,3,86,1,1,1,1,8,1,0.83
96,2,62,1,1,0,0,7,1,0.70
202,5,145,1,1,1,1,5,1,0.95
46,2,24,0,0,0,0,9,0,0.23
128,3,80,1,1,0,1,7,1,0.78
74,2,44,0,1,0,0,6,0,0.49
182,4,126,1,1,1,1,6,1,0.91
54,2,31,0,0,0,0,10,0,0.30
158,3,98,1,1,1,1,7,1,0.85
92,2,57,1,1,0,0,8,1,0.71
196,5,140,1,1,1,1,5,1,0.93
57,2,33,0,0,0,0,9,0,0.34
118,3,74,1,1,0,0,7,1,0.75
86,2,53,1,1,0,0,6,1,0.68
189,4,124,1,1,1,1,6,1,0.90
51,2,27,0,0,0,0,10,0,0.25
148,3,94,1,1,1,0,8,1,0.81
94,2,61,1,1,0,0,7,1,0.69
194,5,136,1,1,1,1,5,1,0.94
59,2,37,0,0,0,0,9,0,0.36
122,3,76,1,1,0,1,7,1,0.76
84,2,51,1,1,0,0,6,1,0.65
187,4,121,1,1,1,1,6,1,0.88
53,2,28,0,0,0,0,10,0,0.28
152,3,91,1,1,1,1,7,1,0.84
98,2,64,1,1,0,0,8,1,0.74
201,5,144,1,1,1,1,5,1,0.96
47,2,23,0,0,0,0,9,0,0.21
131,3,83,1,1,0,1,7,1,0.79
76,2,47,0,1,0,0,6,0,0.47
184,4,127,1,1,1,1,6,1,0.89
56,2,32,0,0,0,0,10,0,0.33
161,3,102,1,1,1,1,7,1,0.87
89,2,59,1,1,0,0,8,1,0.73
197,5,139,1,1,1,1,5,1,0.93
61,2,39,0,0,0,0,9,0,0.37
117,3,73,1,1,0,0,7,1,0.78
81,2,50,1,1,0,0,6,1,0.67
191,4,123,1,1,1,1,6,1,0.89
49,2,22,0,0,0,0,10,0,0.24
144,3,89,1,1,1,0,8,1,0.82
97,2,63,1,1,0,0,7,1,0.72
203,5,143,1,1,1,1,5,1,0.95
64,2,41,0,0,0,0,9,0,0.38
127,3,81,1,1,0,1,7,1,0.80
79,2,49,0,1,0,0,6,0,0.50
183,4,125,1,1,1,1,6,1,0.90
55,2,29,0,0,0,0,10,0,0.27
156,3,97,1,1,1,1,7,1,0.86
91,2,60,1,1,0,0,8,1,0.71
199,5,141,1,1,1,1,5,1,0.94
63,2,40,0,0,0,0,9,0,0.39
113,3,71,1,1,0,0,7,1,0.77
87,2,55,1,1,0,0,6,1,0.66
188,4,120,1,1,1,1,6,1,0.88
50,2,25,0,0,0,0,10,0,0.26
147,3,93,1,1,1,0,8,1,0.83
93,2,66,1,1,0,0,7,1,0.70
193,5,137,1,1,1,1,5,1,0.94
66,2,43,0,0,0,0,9,0,0.41
121,3,77,1,1,0,1,7,1,0.79
83,2,52,1,1,0,0,6,1,0.68
186,4,119,1,1,1,1,6,1,0.88
52,2,30,0,0,0,0,10,0,0.29
163,3,104,1,1,1,1,7,1,0.87
95,2,64,1,1,0,0,8,1,0.74
200,5,148,1,1,1,1,5,1,0.96
44,2,20,0,0,0,0,9,0,0.20
129,3,87,1,1,0,1,7,1,0.80
77,2,48,0,1,0,0,6,0,0.48
181,4,116,1,1,1,1,6,1,0.89
57,2,35,0,0,0,0,10,0,0.31
